# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.47000000 -0.191488199673408E-003 -0.146297306451469E-003  0.787766273015753E-002 -0.233322626605637E-003  0.373848257120502E-002 -0.294346744210709E-001  0.111173398144849E+001 -0.790291616091479E+000  0.150957326494744E+002 -0.917002318256769E-001 -0.700591312673708E-001  0.377247005210765E+001
      0.48000000 -0.232734258875920E-003 -0.265278789781316E-003  0.811054930778408E-002 -0.230077046541669E-003  0.406743575697261E-002 -0.305381074364586E-001  0.110788432083720E+001 -0.907241729611062E+000  0.153194770184915E+002 -0.109130301487205E+000 -0.124390600880252E+000  0.380307865056173E+001
      0.49000000 -0.250968144415313E-003 -0.468075488864779E-003  0.841388478657370E-002 -0.251243604731268E-003  0.438545175033247E-002 -0.316599481343353E-001  0.111540515571385E+001 -0.101439452623695E+001  0.155425442699069E+002 -0.115278626958266E+000 -0.215003779841704E+000  0.386479761342204E+001
      0.50000000 -0.236569407647511E-003 -0.741837453122771E-003  0.879091114715116E-002 -0.281059521325068E-003  0.466880135405472E-002 -0.327753510685575E-001  0.112651865706557E+001 -0.110165617103480E+001  0.157537908785182E+002 -0.106491477738423E+000 -0.333937373434444E+000  0.395721969309819E+001
      0.51000000 -0.188621042604752E-003 -0.106878540180280E-002  0.923549426366960E-002 -0.302122815483211E-003  0.490530006941868E-002 -0.338680480763853E-001  0.113333360535580E+001 -0.116481943795474E+001  0.159467326695130E+002 -0.832427157685477E-001 -0.471679077748891E+000  0.407583169595591E+001
      0.52000000 -0.113295929506623E-003 -0.143462372406337E-002  0.974265563656874E-002 -0.298997726737367E-003  0.509300643319401E-002 -0.349315200321003E-001  0.112941684802798E+001 -0.120443428370667E+001  0.161196039806406E+002 -0.490385069182378E-001 -0.620956160772191E+000  0.421696779325117E+001
      0.53000000 -0.218191028381435E-004 -0.183370617602619E-002  0.103161100880381E-001 -0.259642577210078E-003  0.523342453178238E-002 -0.359616862729353E-001  0.111026211462320E+001 -0.122247237643287E+001  0.162718079464353E+002 -0.926589330596624E-002 -0.778717892646211E+000  0.438093060550865E+001
      0.54000000  0.704423319377418E-004 -0.226772754564530E-002  0.109673163433853E-001 -0.175875206717458E-003  0.532281881538128E-002 -0.369457758030251E-001  0.107330559726847E+001 -0.121857543024932E+001  0.163991697427747E+002  0.293606888205429E-001 -0.945199299425688E+000  0.457122803145112E+001
      0.55000000  0.143985859830605E-003 -0.273804434192596E-002  0.117053809049117E-001 -0.447123135307801E-004  0.534681271504776E-002 -0.378548168209852E-001  0.101829745669510E+001 -0.118805663104481E+001  0.164911883726609E+002  0.589228073189075E-001 -0.112047988170319E+001  0.479015025826810E+001
      0.56000000  0.176095313476372E-003 -0.323545482512213E-002  0.125227078189574E-001  0.128644365885384E-003  0.528223064523398E-002 -0.386457828090014E-001  0.948295419475381E+000 -0.112302744754050E+001  0.165324640564923E+002  0.707760052528010E-001 -0.130038990349831E+001  0.503311085841441E+001
