t,j
8.186,0.00824383580474069
8.188,0.00825690055115573
8.19,0.00826982446316758
8.192,0.00828260704703513
8.194,0.00829524781473998
8.196,0.008307746284147509
8.198,0.00832010197910169
8.2,0.008332314429454282
8.202,0.00834438317104671
8.204,0.00835630774567204
8.206,0.00836808770104447
8.208,0.00837972259079512
8.21,0.00839121197450143
8.212,0.008402555417746059
8.214,0.008413752492195321
8.216,0.008424802775685981
8.218,0.008435705852313619
8.22,0.00844646131252059
8.222,0.008457068753183939
8.224,0.00846752777770454
8.226,0.0084778379960938
8.228,0.00848799902505133
8.23,0.00849801048802454
8.232,0.00850787201524409
8.234,0.00851758324373597
8.236,0.00852714381731954
8.238,0.008536553386607849
8.24,0.00854581160902854
8.242,0.008554918148877879
8.244,0.008563872677410411
8.246,0.00857267487295399
8.248,0.008581324421029539
8.25,0.008589821014452511
8.252,0.0085981643533976
8.254,0.00860635414542093
8.256,0.00861439010544831
8.258,0.008622271955750889
8.26,0.008629999425935031
8.262,0.00863757225296952
8.264,0.00864499018126196
8.266,0.008652252962780719
8.268,0.00865936035720407
8.27,0.0086663121320694
8.272,0.00867310806289485
8.274,0.00867974793325408
8.276,0.0086862315347982
8.278,0.00869255866723416
8.28,0.00869872913828082
8.282,0.00870474276362922
8.284,0.008710599366930898
8.286,0.00871629877982938
8.288,0.00872184084203714
8.29,0.00872722540144809
8.292,0.008732452314266819
8.294,0.00873752144513274
8.296,0.00874243266722042
8.298,0.00874718586230429
8.3,0.00875178092078759
8.302,0.00875621774170042
8.304,0.0087604962326843
8.306,0.0087646163099767
8.308,0.0087685778984125
8.31,0.00877238093145078
8.312,0.00877602535123124
8.314,0.00877951110865726
8.316,0.00878283816349456
8.318,0.00878600648447621
8.32,0.00878901604939894
8.322,0.00879186684520055
8.324,0.00879455886801374
8.326,0.00879709212319298
8.328,0.00879946662532179
8.33,0.008801682398208171
8.332,0.008803739474879911
8.334,0.008805637897589489
8.336,0.008807377717836221
8.338,0.008808958996407809
8.34,0.00881038180343711
8.342,0.008811646218466841
8.344,0.00881275233051454
8.346,0.00881370023812726
8.348,0.0088144900494242
8.35,0.008815121882124901
8.352,0.0088155958635705
8.354,0.0088159121307441
8.356,0.008816070830299439
8.358,0.008816072118603161
8.36,0.00881591616179171
8.362,0.00881560313583846
8.364,0.00881513322662191
8.366,0.008814506629983909
8.368,0.00881372355176721
8.37,0.008812784207826229
8.372,0.00881168882401087
8.374,0.00881043763613008
8.376,0.00880903088990818
8.378,0.00880746884094978
8.38,0.008805751754729038
8.382,0.00880387990661451
8.384,0.008801853581933191
8.386,0.00879967307606803
8.388,0.00879733869457418
8.39,0.008794850753292461
8.392,0.00879220957843717
8.394,0.008789415506638771
8.396,0.00878646888493161
8.398,0.00878337007069004
8.4,0.008780119431529471
8.402,0.00877671734519978
8.404,0.00877316419950167
8.406,0.00876946039225196
8.408,0.00876560633131097
8.41,0.00876160243466846
8.412,0.00875744913056685
8.414,0.00875314685763012
8.416,0.008748696064964631
8.418,0.00874409721220616
8.42,0.00873935076950419
8.422,0.00873445721745243
8.424,0.00872941704699041
8.426,0.00872423075930706
8.428,0.008718898865774819
8.43,0.00871342188792984
8.432,0.00870780035749853
8.434,0.008702034816455342
8.436,0.00869612581708901
8.438,0.00869007392205428
8.44,0.008683879704394128
8.442,0.00867754374752927
8.444,0.00867106664522272
8.446,0.008664449001533781
8.448,0.008657691430775709
8.45,0.0086507945574864
8.452,0.00864375901641259
8.454,0.00863658545250191
8.456,0.00862927452089321
8.458,0.008621826886896581
8.46,0.00861424322596018
8.462,0.00860652422362609
8.464,0.008598670575482551
8.466,0.00859068298712146
8.468,0.00858256217410746
8.47,0.00857430886196138
8.472,0.008565923786155854
8.474,0.008557407692117765
8.476,0.008548761335231622
8.478,0.008539985480838624
8.48,0.008531080904228508
8.482,0.00852204839062247
8.484,0.008512888735146044
8.486,0.00850360274279023
8.488,0.00849419122835925
8.49,0.008484655016403518
8.492,0.008474994941140065
8.494,0.008465211846365592
8.496,0.008455306585371546
8.498,0.008445280020871871
8.5,0.008435133024952106
8.502,0.008424866479042746
8.504,0.00841448127391239
8.506,0.008403978309668662
8.508,0.008393358495751948
8.51,0.008382622750907365
8.512,0.00837177200312821
8.514,0.00836080718957248
8.516,0.008349729256464173
8.518,0.008338539158995503
8.52,0.00832723786124602
8.522,0.008315826336127225
8.524,0.008304305565351344
8.526,0.008292676539412567
8.528,0.00828094025756335
8.53,0.00826909772776888
8.532,0.008257149966630614
8.534,0.008245097999280408
8.536,0.008232942859258373
8.538,0.008220685588393804
8.54,0.008208327236708259
8.542,0.00819586886235177
8.544,0.008183311531571261
8.546,0.008170656318697882
8.548,0.008157904306132106
8.55,0.008145056584305142
8.552,0.008132114251602368
8.554,0.008119078414246876
8.556,0.008105950186153834
8.558,0.008092730688775179
8.56,0.008079421050956052
8.562,0.008066022408818749
8.564,0.008052535905679326
8.566,0.00803896269199112
8.568,0.008025303925301075
8.57,0.008011560770203366
8.572,0.007997734398278356
8.574,0.00798382598801288
8.576,0.007969836724705361
8.578,0.007955767800363767
8.58,0.007941620413604059
8.582,0.007927395769552165
8.584,0.007913095079747226
8.586,0.007898719562039205
8.588,0.007884270440474584
8.59,0.00786974894516752
8.592,0.007855156312160393
8.594,0.007840493783283645
8.596,0.007825762606026453
8.598,0.007810964033427208
8.6,0.007796099323986026
8.602,0.007781169741593536
8.604,0.007766176555464358
8.606,0.007751121040062937
8.608,0.007736004475012233
8.61,0.0077208281449836725
8.612,0.007705593339572336
8.614,0.0076903013531661015
8.616,0.0076749534848157665
8.618,0.007659551038109386
8.62,0.0076440953210474855
8.622,0.007628587645913079
8.624,0.007613029329130069
8.626,0.007597421691109561
8.628,0.007581766056090701
8.63,0.00756606375198879
8.632,0.0075503161102654925
8.634,0.0075345244658307975
8.636,0.007518690156976448
8.638,0.007502814525328737
8.64,0.007486898915798875
8.642,0.007470944676507113
8.644,0.007454953158661993
8.646,0.007438925716389638
8.648,0.007422863706522923
8.65,0.007406768488374697
8.652,0.007390641423524343
8.654,0.007374483875644429
8.656,0.007358297210382231
8.658,0.007342082795294078
8.66,0.007325841999814607
8.662,0.007309576195232257
8.664,0.007293286754641063
8.666,0.007276975052845173
8.668,0.007260642466207475
8.67,0.007244290372448813
8.672,0.007227920150418291
8.674,0.007211533179862308
8.676,0.0071951308412191665
8.678,0.007178714515458374
8.68,0.007162285583971256
8.682,0.007145845428505845
8.684,0.007129395431128312
8.686,0.0071129369741870195
8.688,0.0070964714402559454
8.69,0.007080000212040345
8.692,0.007063524672237396
8.694,0.007047046203356614
8.696,0.0070305661875142865
8.698,0.007014086006222697
